stop_id,stop_name,address,latitude,longitude,site_name
1,תחנת חוף,6 Village Hill,11.9924294,105.4645408,אילת חוף הזהב הדרומי
2,תחנת קניון,6 Debs Place,34.0202277,-117.6896683,טבריה גן לאומי המעיין הירוק
3,תחנת חוף,9 Knutson Center,32.4545928,-93.7079745,טבריה גן לאומי המעיין הירוק
4,תחנת חוף,20333 Buell Junction,1.2750177,-77.0334179,נצרת אתר מורשת האופק העתיק
5,תחנת פארק,030 Farwell Drive,19.638192,-99.079824,נצרת אתר מורשת האופק העתיק
6,תחנת חוף,7191 Derek Parkway,4.524233,-74.356481,עכו טיילת הנמל החופי
7,תחנת קניון,6355 Lukken Point,-6.8546074,106.2963486,נצרת אתר מורשת האופק העתיק
8,תחנת פארק,04073 Shoshone Terrace,41.795664,-8.496851,נתניה טיילת האופק החופי
9,תחנת חוף,7431 Grayhawk Junction,53.9559626,38.2899306,תל אביב פארק הגליל המרכזי
10,תחנת פארק,76417 Sunfield Alley,-9.9755,120.4083,אשדוד פארק החורש הקהילתי
11,תחנת פארק,95 Fisk Junction,-8.8221596,33.8425243,טבריה גן לאומי המעיין הירוק
12,תחנת חוף,4 Loomis Terrace,-19.7619024,-44.0853572,עכו טיילת הנמל החופי
13,תחנה מרכזית,576 Veith Plaza,-22.384597,-41.7828793,עכו טיילת הנמל החופי
14,תחנת רכבת,4623 Ridgeway Plaza,9.4669337,-5.6142558,נתניה טיילת האופק החופי
15,תחנת קניון,6 Carpenter Place,-7.0029794,108.4572788,עכו טיילת הנמל החופי
16,תחנת קניון,6 Emmet Pass,13.6444,44.85097,טבריה גן לאומי המעיין הירוק
17,תחנת פארק,3853 Donald Park,60.9358323,25.9350435,ירושלים מוזיאון השלום העתיק
18,תחנת פארק,16994 Main Street,27.791959,-82.723924,אילת חוף הזהב הדרומי
19,תחנת פארק,1 Barnett Pass,49.4349603,12.8128113,אשדוד פארק החורש הקהילתי
20,תחנת חוף,3549 Continental Junction,43.8699654,21.0688871,חיפה חוף הכרמל הירוק
21,תחנת חוף,9 Hayes Plaza,-21.0504707,55.2828404,אשדוד פארק החורש הקהילתי
22,תחנת פארק,7390 North Junction,47.2550409,-1.5401497,ירושלים מוזיאון השלום העתיק
23,תחנת רכבת,5212 Superior Pass,-7.1684722,107.9833112,צפת מרכז תרבות הפסגה העירוני
24,תחנה מרכזית,0518 Parkside Point,39.6545102,-7.6712121,אילת חוף הזהב הדרומי
25,תחנת רכבת,808 Glendale Court,27.951331,92.009188,צפת מרכז תרבות הפסגה העירוני
26,תחנת פארק,06 Coolidge Road,-3.2826576,-42.941698,טבריה גן לאומי המעיין הירוק
27,תחנת פארק,0879 Menomonie Trail,6.5592478,124.6846104,טבריה גן לאומי המעיין הירוק
28,תחנה מרכזית,57 Myrtle Lane,14.9326574,-91.6941845,עכו טיילת הנמל החופי
29,תחנת רכבת,8 Fordem Plaza,-21.2327222,-47.8167164,טבריה גן לאומי המעיין הירוק
30,תחנה מרכזית,3 Elka Drive,16.2093368,100.3722477,צפת מרכז תרבות הפסגה העירוני
31,תחנת חוף,8886 Ronald Regan Way,-6.3811392,107.1854181,חיפה חוף הכרמל הירוק
32,תחנת קניון,2159 East Parkway,45.1,120.35,צפת מרכז תרבות הפסגה העירוני
33,תחנת קניון,16977 Eagle Crest Court,44.0086458,22.9355752,חיפה חוף הכרמל הירוק
34,תחנה מרכזית,91 Moulton Parkway,27.9408161,-101.211296,צפת מרכז תרבות הפסגה העירוני
35,תחנת קניון,9354 Ruskin Plaza,-8.4031608,114.3371145,טבריה גן לאומי המעיין הירוק
36,תחנת רכבת,3013 Glacier Hill Alley,44.772989,127.5932189,אילת חוף הזהב הדרומי
37,תחנת פארק,6 Dayton Way,16.9075213,96.5623251,אשדוד פארק החורש הקהילתי
38,תחנה מרכזית,6223 Buena Vista Avenue,40.6573682,44.0769342,תל אביב פארק הגליל המרכזי
39,תחנת חוף,2077 Westend Park,-8.7833,121.219,טבריה גן לאומי המעיין הירוק
40,תחנת פארק,74 Debra Park,45.4451601,35.8363269,צפת מרכז תרבות הפסגה העירוני
41,תחנה מרכזית,60879 Village Green Hill,2.0469343,45.3181623,אילת חוף הזהב הדרומי
42,תחנה מרכזית,90088 Walton Road,22.845641,89.5403279,ירושלים מוזיאון השלום העתיק
43,תחנה מרכזית,00250 Ridgeway Street,40.4810579,50.1454455,חיפה חוף הכרמל הירוק
44,תחנת חוף,618 Pond Place,-6.6382226,-79.7904475,תל אביב פארק הגליל המרכזי
45,תחנת קניון,144 Kennedy Alley,56.166667,107.433333,עכו טיילת הנמל החופי
46,תחנת פארק,310 Stuart Road,22.8811032,113.622578,ירושלים מוזיאון השלום העתיק
47,תחנה מרכזית,634 Mccormick Crossing,22.058407,110.792856,נתניה טיילת האופק החופי
48,תחנת חוף,76110 Shasta Hill,49.8947754,18.5547609,נצרת אתר מורשת האופק העתיק
